fips,tracked_max,storm_peak,storm_total_outage,hours_above_1000
26125,618124,23346,662228,54
26163,922425,15143,631252,92
26099,413676,17047,415296,50
26161,174449,11889,335149,50
26081,298597,6841,88716,20
26049,207009,4581,40214,11
26011,11621,2094,39125,21
26117,34190,4513,38799,14
26021,83554,3393,33362,14
26115,75812,2423,33102,3
26123,29351,2877,26224,14
26151,24866,1286,23204,14
26075,78896,2626,23010,6
26093,90514,902,22301,0
26015,33483,1782,18919,7
26067,26532,1224,15336,4
26139,107388,1291,13600,1
26147,84953,471,12403,0
26091,49355,1322,11877,6
26149,26071,1520,11784,7
26035,27785,1339,10022,4
26025,63077,744,9750,0
26017,34784,1838,9086,2
26157,28269,694,8683,0
26121,85171,999,8652,0
26111,44006,607,7589,0
26065,69433,453,7368,0
26077,130428,940,7274,0
26143,26737,1686,7154,2
26137,18769,2259,7084,2
26027,26873,423,6485,0
26019,17266,1049,5510,2
26009,21491,1008,4788,1
26001,12646,1068,4057,2
26045,37812,361,3943,0
26055,50406,501,3747,0
26051,21244,1984,3631,2
26145,97248,418,3301,0
26087,43561,115,3078,0
26127,17842,649,2808,0
26133,15068,282,2631,0
26165,20465,301,2416,0
26059,21397,228,2375,0
26005,61799,852,2283,0
26155,34795,153,2255,0
26107,24194,427,2120,0
26037,36256,426,2053,0
26069,23341,996,2023,0
26085,14505,541,1927,0
26061,25285,631,1768,0
26073,32544,473,1418,0
26159,35142,645,1386,0
26071,9362,600,1306,0
26013,2327,1263,1271,1
26039,11911,249,1181,0
26029,17530,538,1081,0
26063,23305,126,1011,0
26057,17155,256,909,0
26089,18833,80,725,0
26043,13682,48,642,0
26109,10633,529,634,0
26033,23027,231,519,0
26023,16659,38,497,0
26103,16052,121,420,0
26041,14337,182,415,0
26031,21302,126,318,0
26113,15896,53,277,0
26105,20737,56,272,0
26141,10514,94,235,0
26047,17692,124,193,0
26053,10363,3,162,0
26129,18591,9,116,0
26079,17925,108,108,0
26101,26054,50,97,0
26003,9270,37,84,0
26097,11877,22,51,0
26135,9622,20,47,0
26131,5288,3,6,0
26119,18295,2,3,0
26153,7295,2,2,0
26095,2548,0,0,0
26007,3598,0,0,0
26083,4807,0,0,0
