fips,tracked_max,max_hourly_outage,mean_hourly_outage,zero_rate
26125,618124,23346,797.72,0.0
26099,413676,17047,426.03,0.0
26163,922425,15143,764.81,0.0
26161,174449,11889,249.88,0.029
26145,97248,8704,92.61,0.405
26103,16052,7078,98.94,0.716
26081,298597,6841,108.07,0.342
26049,207009,5878,61.78,0.317
26045,37812,5058,12.59,0.608
26065,69433,4582,33.48,0.257
26117,34190,4513,22.41,0.762
26001,12646,4199,14.04,0.884
26037,36256,4146,10.07,0.649
26023,16659,4146,16.38,0.851
26025,63077,4123,26.17,0.727
26055,50406,3941,14.52,0.643
26077,130428,3695,34.37,0.595
26073,32544,3695,10.16,0.859
26005,61799,3676,25.36,0.673
26091,49355,3657,22.8,0.686
26139,107388,3585,29.18,0.195
26021,83554,3393,42.68,0.489
26039,11911,3292,32.97,0.92
26111,44006,3223,18.3,0.786
26003,9270,3064,33.97,0.885
26059,21397,2878,32.62,0.747
26123,29351,2877,21.27,0.86
26115,75812,2817,69.37,0.083
26093,90514,2800,73.81,0.146
26075,78896,2626,37.75,0.599
26137,18769,2599,20.73,0.908
26087,43561,2536,17.39,0.218
26009,21491,2462,14.31,0.918
26053,10363,2424,20.12,0.703
26033,23027,2339,16.65,0.89
26121,85171,2309,36.22,0.547
26147,84953,2193,36.37,0.081
26061,25285,2133,9.82,0.53
26067,26532,2129,18.66,0.807
26011,11621,2094,19.78,0.915
26051,21244,2055,9.73,0.883
26057,17155,2006,4.94,0.909
26017,34784,1838,7.66,0.833
26019,17266,1837,7.49,0.901
26015,33483,1782,15.12,0.798
26113,15896,1781,5.03,0.905
26165,20465,1764,9.25,0.887
26135,9622,1710,6.25,0.941
26143,26737,1686,9.49,0.879
26083,4807,1544,5.68,0.96
26043,13682,1535,8.58,0.819
26079,17925,1528,4.73,0.973
26149,26071,1520,10.95,0.712
26095,2548,1465,3.28,0.992
26027,26873,1442,10.33,0.784
26129,18591,1439,6.64,0.849
26159,35142,1425,18.2,0.711
26031,21302,1393,4.95,0.919
26047,17692,1370,8.67,0.965
26109,10633,1367,10.03,0.73
26097,11877,1348,15.66,0.906
26035,27785,1339,7.73,0.884
26151,24866,1286,18.23,0.276
26013,2327,1263,15.41,0.901
26153,7295,1263,5.39,0.955
26085,14505,1208,8.72,0.944
26029,17530,1192,6.84,0.95
26041,14337,1142,8.81,0.782
26069,23341,996,4.57,0.868
26157,28269,933,11.65,0.285
26155,34795,893,8.39,0.775
26071,9362,818,5.32,0.836
26101,26054,788,4.96,0.741
26131,5288,689,2.57,0.936
26063,23305,665,4.55,0.416
26127,17842,649,2.06,0.948
26105,20737,477,2.15,0.921
26107,24194,427,2.19,0.849
26089,18833,412,4.83,0.87
26141,10514,330,1.07,0.968
26133,15068,282,2.52,0.921
26119,18295,183,0.51,0.987
26007,3598,154,0.32,0.993
